date-time, dist file, computing time (s), best_bound, best_path
2023-02-05 18:18:53,input/dist13,0.150000, 222, 40410010406091109114325237760.000000
2023-02-05 18:19:02,input/dist13,0.140000, 222, 40410010406091109114325237760.000000
2023-02-05 18:19:08,input/dist5,0.000000, 85, 4041001040502.000000
2023-02-05 18:19:21,input/dist5,0.000000, 85, 4041001040502.000000
2023-02-05 21:38:02,input/dist13,0.152000, 222, 40410010406091109000000000000.000000
2023-02-05 21:48:52,input/dist13,0.147000, 222, 40410010406091109000000000000.000000
2023-02-05 22:01:28,input/dist13,0.167000, 222, 40410010406091109000000000000.000000
2023-02-05 22:08:23,input/dist13,0.120000, 222, 40410010406091109000000000000.000000
2023-02-05 22:17:21,input/dist13,0.135000, 222, 40410010406091109000000000000.000000
